Employee ID,Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRotation,FeedbackFromManager,Mentoring,Autonomy,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,Tools,TotalWorkingYears,Training,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance
64,25,Production,2,3,1,Male,3,1,1,L,N,N,Machinists,4031,5,No,13,3,L,6,0,3,2,2,0,2,47
339,32,Research & Development,7,4,2,Female,4,1,2,L,Y,Y,Research and Design Specialists,3312,6,No,17,4,L,6,Y,3,3,2,0,2,61
376,33,Research & Development,9,3,4,Male,2,3,2,H,Y,Y,Customercare Representative,7119,2,No,15,3,L,9,Y,3,3,2,1,2,62
429,36,Sales,18,2,2,Male,2,3,4,H,N,Y,Sales Executive,7596,1,No,13,2,H,10,Y,3,10,9,9,0,82
441,32,Research & Development,17,3,4,Male,3,2,4,L,N,Y,Research and Design Specialists,5470,9,No,13,3,L,10,Y,2,9,5,1,6,67
564,28,Research & Development,22,3,3,Male,3,1,2,L,Y,Y,Research and Design Specialists,2044,5,No,11,3,H,5,Y,4,5,3,0,3,61
565,30,Research & Development,18,1,3,Male,2,3,4,H,N,Y,Manufacturing Director,8474,1,No,22,3,H,12,Y,3,11,8,5,8,64
591,46,Human Resources,14,2,2,Male,3,2,2,L,Y,N,Human Resources,5021,8,Yes,22,4,L,16,Y,3,4,2,0,2,33
695,44,Finance,18,3,2,Male,3,3,1,L,Y,Y,Accountant,9670,2,Yes,16,4,L,6,N,1,7,7,3,3,56
718,41,Production,17,4,3,Male,3,1,2,L,Y,Y,Machinists,2289,5,No,20,2,L,5,Y,3,5,3,0,4,68
749,54,Finance,17,4,2,Female,2,2,2,L,Y,Y,Accountant,9588,2,Yes,15,2,H,5,Y,2,10,6,1,6,67
813,41,Sales,2,1,3,Male,3,3,2,H,N,Y,Sales Executive,8189,3,Yes,13,3,H,12,Y,3,9,7,0,7,68
