"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
759915,759915,755078,749134,740565,610654,0.00641,"West","Seattle","WA","Washington","53033","King County",9047,"washington/seattle",84,-122.352,47.6193,"City",1
229527,229527,229447,230405,229205,209537,0.00035,"East","Spokane","WA","Washington","53063|53065","Spokane County",3338,"washington/spokane",68.76,-117.433,47.6669,"City",2
223968,223968,222906,221731,219719,198324,0.00476,"West","Tacoma","WA","Washington","53053|53033","Pierce County",4505,"washington/tacoma",49.714,-122.46,47.2522,"City",3
198163,198163,196442,194500,191278,167614,0.00876,"Southwest","Vancouver","WA","Washington","53011","Clark County",4065,"washington/vancouver",48.748,-122.597,45.6372,"City",4
151505,151505,151574,152745,151780,128360,-0.00046,"West","Bellevue","WA","Washington","53033","King County",4527,"washington/bellevue",33.468,-122.156,47.5978,"City",5
132306,132306,133378,134429,136592,119071,-0.00804,"West","Kent","WA","Washington","53033|53053","King County",3911,"washington/kent",33.833,-122.213,47.388,"City",6
111275,111275,111180,111584,110893,103086,0.00085,"Northwest","Everett","WA","Washington","53061","Snohomish County",3312,"washington/everett",33.601,-122.19,47.9654,"City",7
109803,109803,108235,107377,103531,90052,0.01449,"East","Spokane Valley","WA","Washington","53063","Spokane County",2911,"washington/spokane-valley",37.72,-117.233,47.6634,"City",8
103748,103748,104491,104067,106719,92372,-0.00711,"West","Renton","WA","Washington","53033","King County",4407,"washington/renton",23.54,-122.195,47.4792,"City",9
96645,96645,96750,96825,97063,91647,-0.00109,"South","Yakima","WA","Washington","53037|53077","Kittitas County",3469,"washington/yakima",27.86,-120.549,46.5909,"City",10
96605,96605,97701,97881,100988,89524,-0.01122,"West","Federal Way","WA","Washington","53033|53053","King County",4326,"washington/federal-way",22.329,-122.338,47.3116,"City",11
95669,95669,94720,93942,91871,81705,0.01002,"Northwest","Bellingham","WA","Washington","53073|53057","Whatcom County",3393,"washington/bellingham",28.198,-122.47,48.7534,"City",12
90679,90679,91194,90856,92739,80869,-0.00565,"West","Kirkland","WA","Washington","53033|53061","King County",5093,"washington/kirkland",17.806,-122.204,47.6967,"City",13
85549,85549,85158,84787,83984,74448,0.00459,"Southeast","Kennewick","WA","Washington","53005","Benton County",3001,"washington/kennewick",28.504,-119.176,46.1976,"City",14
82812,82812,83870,84855,87043,70560,-0.01261,"West","Auburn","WA","Washington","53033|53053","King County",2800,"washington/auburn",29.577,-122.21,47.3038,"City",15
82588,82588,80280,76712,73354,54731,0.02875,"West","Redmond","WA","Washington","53033","King County",4985,"washington/redmond",16.567,-122.115,47.6779,"City",16
80821,80821,80038,79457,77687,62925,0.00978,"Southeast","Pasco","WA","Washington","53021","Franklin County",2074,"washington/pasco",38.963,-119.121,46.2661,"City",17
73561,73561,72916,72336,70981,60206,0.00885,"Northwest","Marysville","WA","Washington","53061|53057","Snohomish County",3545,"washington/marysville",20.753,-122.154,48.0802,"City",18
70402,70402,69119,67835,64104,52431,0.01856,"West","South Hill","WA","Washington","53053","Pierce County",3788,"washington/south-hill",18.585,-122.285,47.1207,"CDP",19
64706,64706,63757,62865,60908,48877,0.01488,"Southeast","Richland","WA","Washington","53005","Benton County",1623,"washington/richland",39.868,-119.294,46.2841,"City",20
64340,64340,65116,65854,67444,57656,-0.01192,"West","Sammamish","WA","Washington","53033","King County",3150,"washington/sammamish",20.427,-122.038,47.5943,"City",21
62199,62199,61353,59684,58815,53182,0.01379,"West","Shoreline","WA","Washington","53033","King County",5346,"washington/shoreline",11.635,-122.346,47.7569,"City",22
61866,61866,62303,62575,63614,57601,-0.00701,"West","Lakewood","WA","Washington","53053","Pierce County",3626,"washington/lakewood",17.06,-122.528,47.1641,"City",23
58860,58860,58326,58157,56722,42725,0.00916,"West","Lacey","WA","Washington","53067","Thurston County",3170,"washington/lacey",18.565,-122.798,47.0431,"City",24
55774,55774,55733,55748,55608,47083,0.00074,"West","Olympia","WA","Washington","53067|53045","Thurston County",3061,"washington/olympia",18.221,-122.895,47.0406,"City",25
50894,50894,50213,49030,48169,39957,0.01356,"West","Bothell","WA","Washington","53033|53061","King County",3733,"washington/bothell",13.635,-122.204,47.7735,"City",26
50310,50310,50730,50811,51989,48224,-0.00828,"West","Burien","WA","Washington","53033","King County",5011,"washington/burien",10.039,-122.345,47.4756,"City",27
46058,46058,45450,45354,43624,37897,0.01338,"West","Bremerton","WA","Washington","53035|53045","Kitsap County",1620,"washington/bremerton",28.43,-122.717,47.5399,"City",28
45640,45640,43867,43219,38548,35920,0.04042,"West","Lynnwood","WA","Washington","53061","Snohomish County",5794,"washington/lynnwood",7.877,-122.301,47.829,"City",29
42658,42658,42701,42632,42829,39748,-0.00101,"West","Edmonds","WA","Washington","53061","Snohomish County",4784,"washington/edmonds",8.916,-122.353,47.8136,"City",30
41894,41894,42179,42456,43033,37228,-0.00676,"West","Puyallup","WA","Washington","53053","Pierce County",2917,"washington/puyallup",14.364,-122.292,47.179,"City",31
40988,40988,40521,39899,39118,28469,0.01152,"Northwest","Lake Stevens","WA","Washington","53061","Snohomish County",4034,"washington/lake-stevens",10.161,-122.097,48.0034,"City",32
39997,39997,39698,39398,37946,35803,0.00753,"West","Parkland","WA","Washington","53053","Pierce County",4628,"washington/parkland",8.643,-122.438,47.1415,"CDP",33
38604,38604,38977,39351,40094,30552,-0.00957,"West","Issaquah","WA","Washington","53033","King County",3183,"washington/issaquah",12.13,-122.049,47.5445,"City",34
37943,37943,37925,37826,37869,36794,0.00047,"Southwest","Longview","WA","Washington","53015|53069","Cowlitz County",2564,"washington/longview",14.798,-122.964,46.1457,"City",35
36659,36659,35719,34778,32505,23491,0.02632,"West","Graham","WA","Washington","53053","Pierce County",859,"washington/graham",42.681,-122.277,47.0343,"CDP",36
35522,35522,35526,35500,35536,32948,-0.00011,"Central","Wenatchee","WA","Washington","53007","Chelan County",3342,"washington/wenatchee",10.628,-120.329,47.436,"City",37
35243,35243,35259,35564,35306,31752,-0.00045,"Northwest","Mount Vernon","WA","Washington","53057","Skagit County",2866,"washington/mount-vernon",12.298,-122.312,48.4171,"City",38
35146,35146,34581,34015,33776,27227,0.01634,"West","Spanaway","WA","Washington","53053","Pierce County",4019,"washington/spanaway",8.745,-122.423,47.0981,"CDP",39
35098,35098,35049,34633,34902,31108,0.0014,"West","University Place","WA","Washington","53053","Pierce County",4208,"washington/university-place",8.34,-122.547,47.2154,"City",40
33056,33056,33339,33491,34186,32522,-0.00849,"Southeast","Walla Walla","WA","Washington","41059|53071","Umatilla County",2354,"washington/walla-walla",14.04,-118.337,46.067,"City",41
32865,32865,32863,32465,32855,29834,0.00006,"Southeast","Pullman","WA","Washington","53075","Whitman County",2955,"washington/pullman",11.123,-117.168,46.7331,"City",42
31937,31937,31799,30513,31384,26999,0.00434,"West","SeaTac","WA","Washington","53033","King County",3173,"washington/seatac",10.064,-122.298,47.4434,"City",43
31688,31688,31988,32426,32887,29775,-0.00938,"West","Des Moines","WA","Washington","53033","King County",4940,"washington/des-moines",6.414,-122.318,47.3887,"City",44
30824,30824,30019,29214,26289,19556,0.02682,"Southwest","Orchards","WA","Washington","53011","Clark County",5758,"washington/orchards",5.353,-122.531,45.689,"CDP",45
28550,28550,28434,28214,28085,22854,0.00408,"West","Maple Valley","WA","Washington","53033","King County",4755,"washington/maple-valley",6.004,-122.035,47.3671,"City",46
27605,27605,27239,26856,26140,20162,0.01344,"West","Tumwater","WA","Washington","53067|53045","Thurston County",1556,"washington/tumwater",17.744,-122.917,46.9895,"City",47
27518,27518,27254,27360,26461,19914,0.00969,"Southwest","Camas","WA","Washington","53011|53059","Clark County",1952,"washington/camas",14.1,-122.43,45.6018,"City",48
26901,26901,26101,25302,24643,15709,0.03065,"West","Mill Creek East","WA","Washington","53061","Snohomish County",6047,"washington/mill-creek-east",4.449,-122.188,47.8361,"CDP",49
26616,26616,26299,26004,25348,20460,0.01205,"East","Moses Lake","WA","Washington","53025","Grant County",1468,"washington/moses-lake",18.136,-119.276,47.1278,"City",50
25745,25745,25243,24741,22290,18719,0.01989,"West","Frederickson","WA","Washington","53053","Pierce County",2276,"washington/frederickson",11.311,-122.362,47.0918,"CDP",51
25512,25512,24873,24235,24084,16574,0.02569,"West","North Lynnwood","WA","Washington","53061","Snohomish County",8159,"washington/north-lynnwood",3.127,-122.276,47.8533,"CDP",52
24557,24557,23908,23259,21987,15473,0.02715,"West","Martha Lake","WA","Washington","53061","Snohomish County",5394,"washington/martha-lake",4.553,-122.233,47.8447,"CDP",53
24407,24407,24742,25026,25747,22770,-0.01354,"West","Mercer Island","WA","Washington","53033","King County",3824,"washington/mercer-island",6.383,-122.231,47.564,"City",54
24059,24059,24254,24510,24837,23062,-0.00804,"West","Bainbridge Island","WA","Washington","53035","Kitsap County",871,"washington/bainbridge-island",27.614,-122.508,47.6425,"City",55
23901,23901,23537,23173,23114,18805,0.01547,"West","Union Hill-Novelty Hill","WA","Washington","53033|53061","King County",986,"washington/union-hill-novelty-hill",24.244,-122.023,47.6823,"CDP",56
23813,23813,24016,24263,24625,22212,-0.00845,"Northwest","Oak Harbor","WA","Washington","53029","Island County",2467,"washington/oak-harbor",9.651,-122.628,48.2938,"City",57
23685,23685,23429,23173,22829,20101,0.01093,"Northwest","Eastmont","WA","Washington","53061","Snohomish County",4631,"washington/eastmont",5.114,-122.182,47.8974,"CDP",58
23356,23356,23295,23233,23239,22494,0.00262,"West","Cottage Lake","WA","Washington","53033|53061","King County",1027,"washington/cottage-lake",22.736,-122.076,47.7465,"CDP",59
23260,23260,22987,22714,21830,19435,0.01188,"Southwest","Hazel Dell","WA","Washington","53011","Clark County",4812,"washington/hazel-dell",4.834,-122.653,45.6819,"CDP",60
23224,23224,23391,23481,23891,20588,-0.00714,"West","Kenmore","WA","Washington","53033","King County",3774,"washington/kenmore",6.154,-122.247,47.7499,"City",61
22838,22838,22835,22881,22824,17619,0.00013,"West","Bonney Lake","WA","Washington","53053","Pierce County",2779,"washington/bonney-lake",8.218,-122.163,47.1995,"City",62
22758,22758,22285,21625,20864,17845,0.02123,"Southwest","Battle Ground","WA","Washington","53011","Clark County",2621,"washington/battle-ground",8.682,-122.541,45.7768,"City",63
22453,22453,22342,22230,22564,20891,0.00497,"West","Silver Firs","WA","Washington","53061","Snohomish County",3275,"washington/silver-firs",6.855,-122.15,47.8635,"CDP",64
22202,22202,21988,21774,21858,19204,0.00973,"West","Silverdale","WA","Washington","53035|53045","Kitsap County",1757,"washington/silverdale",12.633,-122.682,47.6677,"CDP",65
21594,21594,21206,21116,20042,17987,0.0183,"Northwest","Arlington","WA","Washington","53061","Snohomish County",2166,"washington/arlington",9.97,-122.145,48.1704,"City",66
21593,21593,21516,21559,21283,19908,0.00358,"West","Mountlake Terrace","WA","Washington","53061","Snohomish County",5324,"washington/mountlake-terrace",4.056,-122.303,47.7943,"City",67
21376,21376,21146,20916,19415,18159,0.01088,"Southwest","Five Corners","WA","Washington","53011","Clark County",3670,"washington/five-corners",5.824,-122.571,45.6892,"CDP",68
21212,21212,21125,21371,20863,17628,0.00412,"West","Covington","WA","Washington","53033","King County",3576,"washington/covington",5.932,-122.105,47.3648,"City",69
21184,21184,20857,20530,19899,16607,0.01568,"West","Bothell West","WA","Washington","53061","Snohomish County",5108,"washington/bothell-west",4.147,-122.24,47.8056,"CDP",70
20928,20928,21135,21377,21754,19161,-0.00979,"West","Tukwila","WA","Washington","53033","King County",2278,"washington/tukwila",9.185,-122.276,47.4763,"City",71
20842,20842,21011,21122,21516,20286,-0.00804,"Northwest","Mukilteo","WA","Washington","53061","Snohomish County",3335,"washington/mukilteo",6.249,-122.302,47.913,"City",72
20686,20686,20742,20854,20910,18268,-0.0027,"West","Mill Creek","WA","Washington","53061","Snohomish County",4454,"washington/mill-creek",4.644,-122.211,47.8652,"City",73
20582,20582,19112,17642,17073,0,0.07692,"Northwest","Camano","WA","Washington","53029|53061","Island County",518,"washington/camano",39.755,-122.462,48.1525,"CDP",74
20416,20416,20364,20312,19506,19686,0.00255,"Southwest","Salmon Creek","WA","Washington","53011","Clark County",3217,"washington/salmon-creek",6.347,-122.663,45.7099,"CDP",75
20132,20132,20101,20160,20007,19058,0.00154,"Northwest","Port Angeles","WA","Washington","53009","Clallam County",1880,"washington/port-angeles",10.711,-123.448,48.1192,"City",76
19253,19253,19447,19378,20029,17369,-0.00998,"West","Monroe","WA","Washington","53061","Snohomish County",3020,"washington/monroe",6.375,-121.984,47.8598,"City",77
19145,19145,18456,17797,16388,11990,0.03733,"Southeast","West Richland","WA","Washington","53005","Benton County",866,"washington/west-richland",22.115,-119.388,46.3138,"City",78
18915,18915,18754,18696,18269,16697,0.00858,"Southwest","Centralia","WA","Washington","53041|53067","Lewis County",2482,"washington/centralia",7.621,-122.971,46.722,"City",79
18728,18728,17950,17090,15614,12220,0.04334,"West","Port Orchard","WA","Washington","53035","Kitsap County",1942,"washington/port-orchard",9.644,-122.632,47.5384,"City",80
18530,18530,18571,18612,19400,19102,-0.00221,"West","Fairwood","WA","Washington","53033","King County",3907,"washington/fairwood-king-county",4.743,-122.143,47.4468,"CDP",81
18463,18463,18694,18685,19385,18332,-0.01236,"Central","Ellensburg","WA","Washington","53037","Kittitas County",2219,"washington/ellensburg",8.321,-120.55,47.0012,"City",82
18430,18430,18231,18032,17643,15645,0.01092,"West","Bryn Mawr-Skyway","WA","Washington","53033","King County",6458,"washington/bryn-mawr-skyway",2.854,-122.241,47.495,"CDP",83
18121,18121,18012,18021,17683,15763,0.00605,"Northwest","Anacortes","WA","Washington","53055|53057","San Juan County",1549,"washington/anacortes",11.697,-122.624,48.4887,"City",84
17009,17009,17014,17109,17028,16865,-0.00029,"West","Aberdeen","WA","Washington","53027|53045","Grays Harbor County",1564,"washington/aberdeen",10.873,-123.811,46.9752,"City",85
16964,16964,16985,16937,17047,14193,-0.00124,"Southwest","Washougal","WA","Washington","53011|53059","Clark County",2850,"washington/washougal",5.952,-122.346,45.5828,"City",86
16797,16797,16551,16186,15813,12059,0.01486,"Northwest","Lynden","WA","Washington","53073","Whatcom County",3091,"washington/lynden",5.435,-122.455,48.9499,"City",87
16423,16423,15027,14233,10839,4809,0.0929,"Southwest","Ridgefield","WA","Washington","53011","Clark County",2219,"washington/ridgefield",7.402,-122.705,45.8116,"City",88
16281,16281,15992,15849,15123,11493,0.01807,"Northwest","Ferndale","WA","Washington","53073","Whatcom County",2317,"washington/ferndale",7.026,-122.589,48.8526,"City",89
16219,16219,16264,16279,16398,15986,-0.00277,"South","Sunnyside","WA","Washington","53077|53005","Yakima County",2148,"washington/sunnyside",7.552,-120.006,46.3157,"City",90
15816,15816,15242,14668,14306,7777,0.03766,"West","Lake Stickney","WA","Washington","53061","Snohomish County",7952,"washington/lake-stickney",1.989,-122.253,47.8758,"CDP",91
15810,15810,15644,15479,15995,13495,0.01061,"West","White Center","WA","Washington","53033","King County",6949,"washington/white-center",2.275,-122.348,47.5092,"CDP",92
15296,15296,15128,14960,14042,12942,0.01111,"West","Lakeland North","WA","Washington","53033","King County",4762,"washington/lakeland-north",3.212,-122.282,47.3373,"CDP",93
